,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2014-07-15,0.56,0.49,0.5,0.45,0.87,0.48,0.45,0.63,0.42,0.48
2014-07-16,0.54,0.7,0.48,0.48,0.42,0.38,0.41,0.89,0.47,0.39
2014-07-17,0.52,0.43,0.37,0.34,0.45,0.33,0.68,0.64,0.4,0.33
2014-07-18,0.75,0.6,0.46,0.43,0.55,0.42,0.56,0.53,0.46,0.41
2014-07-21,0.34,0.3,0.25,0.25,0.29,0.23,0.28,0.38,0.34,0.24
2014-07-22,0.72,0.39,0.55,0.52,0.37,0.36,0.38,0.5,0.38,0.36
2014-07-23,0.82,0.43,0.37,0.37,0.56,0.34,0.39,0.56,0.43,0.34
2014-07-24,0.71,0.53,0.54,0.58,0.6,0.52,0.57,1.56,0.51,0.52
2014-07-25,0.39,0.72,0.37,0.39,0.35,0.35,0.39,0.52,0.36,0.34
2014-07-28,0.31,0.26,0.21,0.19,0.22,0.19,0.23,0.35,0.25,0.19
2014-07-29,0.38,0.5,0.34,0.3,0.35,0.38,0.33,0.62,0.33,0.38
2014-07-30,0.62,0.45,0.37,0.39,0.39,0.53,0.74,0.53,0.42,0.53
2014-07-31,0.5,0.51,0.37,0.33,0.38,0.35,0.35,0.52,0.42,0.35
2014-08-01,0.55,0.52,0.55,0.47,0.68,0.52,0.57,0.64,0.44,0.52
2014-08-04,0.33,0.27,0.29,0.27,0.29,0.24,0.32,0.34,0.24,0.24
2014-08-05,0.5,0.58,0.48,0.45,0.55,0.47,0.54,0.81,0.46,0.47
2014-08-06,0.74,0.6,0.5,0.5,0.62,0.53,0.77,0.73,0.53,0.53
2014-08-07,1.02,0.48,0.49,0.51,0.44,0.43,0.58,0.6,0.5,0.43
2014-08-08,0.58,0.81,0.69,0.65,0.63,0.52,0.77,0.66,0.5,0.52
2014-08-11,0.35,0.63,0.27,0.31,0.28,0.23,0.31,0.32,0.36,0.23
2014-08-12,0.39,0.36,0.38,0.36,0.39,0.33,0.35,0.57,0.35,0.33
2014-08-13,0.62,0.51,0.59,0.54,1.14,0.48,0.53,0.69,0.48,0.48
2014-08-14,0.41,0.36,0.44,0.38,0.4,0.38,0.37,0.63,0.38,0.38
2014-08-15,0.5,0.59,0.58,0.45,0.36,0.36,0.68,0.44,0.4,0.36
2014-08-18,0.39,0.3,0.47,0.35,0.3,0.27,0.36,0.37,0.33,0.27
2014-08-19,0.48,0.47,0.38,0.4,0.68,0.45,0.38,0.73,0.39,0.45
2014-08-20,0.57,0.43,0.43,0.44,0.6,0.52,0.72,0.69,0.44,0.52
2014-08-21,0.6,0.39,0.35,0.33,0.4,0.4,0.42,0.59,0.33,0.4
2014-08-22,0.41,0.56,0.47,0.5,0.37,0.41,0.55,0.52,0.37,0.41
2014-08-25,0.46,0.5,0.48,0.38,0.44,0.35,0.48,0.84,0.41,0.35
2014-08-26,0.55,0.54,0.41,0.36,0.37,0.39,0.42,0.46,0.39,0.38
