,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2016-07-07,-0.62,-0.32,-0.46,-0.39,-0.21,-0.01,0.58,1.43,0.02,-0.01
2016-07-08,1.05,-0.58,-0.78,-0.37,0.14,-0.25,-0.03,0.94,0.12,-0.25
2016-07-11,-0.02,-0.12,0.38,0.56,0.91,0.48,-1.92,-0.72,-0.01,0.48
2016-07-12,1.01,0.33,-1.01,-0.27,1.87,-0.3,-2.35,0.93,0.09,-0.3
2016-07-13,-0.15,0.55,0.38,0.28,-0.85,-0.0,0.22,-0.35,-0.05,-0.02
2016-07-14,0.18,0.55,0.31,0.12,1.49,-0.14,-1.17,-1.35,0.17,-0.18
2016-07-15,-0.31,-0.18,0.31,-0.35,-0.8,0.49,1.03,-0.77,0.06,0.51
2016-07-18,-0.03,0.08,0.05,0.35,0.56,0.07,-0.77,-0.33,-0.06,0.07
2016-07-19,-0.72,-0.1,0.19,0.01,-0.68,0.53,0.6,-0.43,0.05,0.54
2016-07-20,-0.26,-0.15,-0.02,0.1,1.02,0.15,-0.64,-0.29,-0.09,0.16
2016-07-21,0.15,-0.4,-0.01,-0.07,-0.06,-0.19,0.93,-0.04,-0.11,-0.19
2016-07-22,-0.16,-0.05,0.15,-0.19,-0.73,0.28,0.03,0.34,0.04,0.3
2016-07-25,0.13,-0.75,0.21,0.2,-0.02,0.03,0.37,0.07,-0.25,0.02
2016-07-26,0.27,0.02,-0.97,-0.31,-0.32,-0.24,1.01,0.7,0.08,-0.23
2016-07-27,-0.38,-0.2,0.51,0.53,0.57,-0.21,-0.99,0.14,0.26,-0.21
2016-07-28,0.12,0.21,0.48,0.06,-0.56,-0.07,0.08,-0.1,-0.15,-0.07
2016-07-29,0.25,-0.2,0.1,-0.21,-0.65,-1.21,2.22,0.94,-0.07,-1.18
2016-08-01,-0.62,-0.47,0.38,0.16,-0.22,0.24,0.21,-0.22,0.26,0.28
2016-08-02,0.44,-0.58,-0.16,-0.07,0.8,-0.68,0.99,0.45,-0.51,-0.68
2016-08-03,0.02,0.74,-0.66,-0.35,0.11,0.4,-0.03,-0.92,0.31,0.37
2016-08-04,0.66,0.51,-0.02,-0.1,-1.74,0.12,0.09,0.32,0.07,0.08
2016-08-05,0.31,-0.83,-0.31,0.03,0.17,0.45,-0.22,-0.07,0.04,0.44
2016-08-08,0.51,0.23,-0.24,0.09,-0.29,0.02,-0.45,0.06,0.03,0.04
2016-08-09,0.13,0.12,-0.09,0.12,-0.56,-0.18,0.39,0.21,0.04,-0.18
2016-08-10,0.07,0.16,0.32,0.24,-0.32,-0.38,0.26,0.2,-0.18,-0.38
2016-08-11,0.06,0.68,0.08,-0.28,-0.34,0.13,-0.62,0.15,-0.01,0.14
2016-08-12,-0.7,0.34,0.09,0.26,-0.33,0.0,0.72,-0.17,-0.21,-0.0
2016-08-15,0.14,0.21,0.09,0.06,-0.49,-0.07,-0.16,0.22,0.1,-0.08
2016-08-16,-0.38,-0.17,0.62,0.25,0.73,-0.67,0.36,0.35,-0.4,-0.69
2016-08-17,-0.48,0.24,0.07,0.22,0.1,0.1,0.13,-0.36,-0.14,0.11
2016-08-18,-0.05,0.08,0.43,0.15,0.58,-0.48,-0.06,0.04,-0.2,-0.49
2016-08-19,-0.41,-0.29,-0.23,0.19,-0.32,0.47,0.1,0.13,-0.11,0.47
2016-08-22,0.2,-0.56,-0.12,-0.02,0.56,-0.12,0.38,0.19,-0.38,-0.13
2016-08-23,-0.2,0.2,-0.17,-0.21,0.45,-0.08,0.01,0.22,-0.15,-0.07
2016-08-24,0.06,-0.04,-0.34,-0.32,0.39,0.08,-0.14,0.39,-0.16,0.09
2016-08-25,0.1,0.05,-0.04,0.25,-0.31,0.02,-0.05,-0.17,0.11,0.04
2016-08-26,-0.12,-0.02,-0.49,-0.15,0.24,0.66,-0.72,-0.32,0.23,0.69
2016-08-29,0.08,-0.2,-0.01,0.06,-0.1,-0.04,0.12,0.3,-0.16,-0.05
2016-08-30,-0.38,-0.24,-0.17,0.03,0.29,0.48,-0.63,-0.01,0.13,0.51
2016-08-31,0.02,-0.13,-0.13,0.07,0.42,-0.08,-0.58,0.38,0.11,-0.08
2016-09-01,0.17,-0.3,0.07,0.05,0.74,-0.35,-0.12,0.17,-0.1,-0.34
2016-09-02,0.25,0.94,-0.08,-0.46,0.18,-0.0,-0.8,0.08,-0.08,-0.03
2016-09-05,-0.0,0.35,-0.11,-0.31,-0.19,-0.21,0.51,0.18,-0.02,-0.21
2016-09-06,0.55,-0.24,0.21,0.11,0.16,-0.96,0.55,0.72,-0.13,-0.96
2016-09-07,-0.14,-0.25,0.04,-0.08,-0.73,0.06,0.4,0.57,0.07,0.07
2016-09-08,-0.09,-0.11,0.03,0.55,-0.05,0.32,-0.48,-0.44,-0.07,0.34
2016-09-09,-0.96,-0.44,0.2,0.27,0.32,0.53,0.25,-0.63,-0.08,0.54
2016-09-12,0.09,-0.19,0.01,-0.3,0.28,-0.31,0.49,0.19,0.04,-0.3
2016-09-13,-0.74,-0.38,0.23,0.62,-0.42,0.75,-0.0,-0.76,-0.07,0.76
2016-09-14,-0.12,-0.36,0.18,0.14,0.17,-0.17,-0.0,0.28,0.06,-0.17
2016-09-15,0.47,0.11,-0.04,-0.26,-0.17,-0.21,0.16,0.27,-0.12,-0.21
2016-09-16,0.22,0.14,-0.35,-0.25,-1.39,0.61,0.4,-0.13,0.14,0.61
2016-09-19,0.5,-0.1,-0.26,-0.04,-0.03,-0.26,-0.03,0.24,0.26,-0.28
2016-09-20,0.21,0.08,0.06,-0.29,-0.41,-0.02,0.19,0.26,-0.04,-0.03
2016-09-21,0.41,0.15,0.02,-0.21,-0.22,-0.56,0.92,-0.03,0.12,-0.58
2016-09-22,0.22,0.44,0.52,0.12,0.32,-0.06,-0.54,-0.69,-0.28,-0.06
2016-09-23,0.09,-0.65,0.22,0.55,-0.58,0.38,0.11,-0.66,0.15,0.39
2016-09-26,0.15,-0.68,-0.04,0.12,-0.06,-0.11,0.65,0.32,-0.24,-0.12
2016-09-27,0.36,0.15,-0.28,-0.46,0.34,-0.09,-0.22,0.31,-0.02,-0.09
2016-09-28,0.28,0.94,-0.12,-0.08,-0.11,-0.07,-0.38,-0.33,-0.05,-0.09
2016-09-29,-0.56,-0.32,0.76,0.32,-0.17,0.22,-0.14,-0.2,-0.17,0.26
2016-09-30,0.3,0.11,-0.65,0.17,0.05,-0.05,-0.39,0.46,0.04,-0.04
2016-10-03,0.31,0.16,-0.03,-0.03,-0.51,0.16,-0.3,0.09,0.0,0.16
2016-10-04,-0.26,-0.02,-0.01,0.53,-0.32,0.59,-0.77,-0.47,0.13,0.6
2016-10-05,0.1,0.14,0.57,0.04,0.22,0.01,-0.64,-0.54,0.09,0.02
2016-10-06,-0.12,0.08,-0.3,-0.12,-0.72,0.42,-0.04,0.16,0.22,0.42
2016-10-07,0.06,-0.66,0.4,0.52,-1.58,0.02,1.16,0.09,-0.04,0.03
2016-10-10,0.12,0.72,-0.24,-0.23,-0.12,0.16,-0.18,-0.51,0.12,0.17
2016-10-11,-0.31,-0.05,-0.01,-0.15,-1.47,0.69,0.82,-0.54,0.32,0.69
2016-10-12,0.44,-0.07,-0.14,-0.41,0.84,0.08,-0.69,0.16,-0.28,0.07
2016-10-13,-0.28,0.31,0.06,0.14,0.14,-0.34,0.25,0.18,-0.13,-0.34
2016-10-14,0.92,0.69,-0.26,-0.65,-0.38,0.19,-0.29,0.1,-0.52,0.22
2016-10-17,-0.12,-0.23,-0.06,0.1,0.06,-0.2,0.3,0.47,-0.11,-0.2
2016-10-18,0.28,-0.12,-0.3,-0.47,0.77,-0.28,-0.24,0.6,0.03,-0.27
2016-10-19,0.61,-0.2,-0.08,-0.23,-0.26,-0.15,0.27,0.45,-0.25,-0.17
2016-10-20,-0.88,-0.46,0.07,0.06,0.22,0.5,-0.02,-0.1,0.09,0.52
2016-10-21,-0.03,-0.66,0.15,-0.2,0.05,0.25,0.37,-0.27,0.09,0.25
2016-10-24,0.01,0.35,0.13,-0.01,0.15,0.01,-0.36,-0.38,0.11,0.01
2016-10-25,0.48,-0.55,-0.13,0.06,-0.43,0.0,-0.09,0.39,0.27,-0.01
2016-10-26,0.08,-0.27,0.08,0.19,0.52,-0.03,-0.28,-0.16,-0.11,-0.02
2016-10-27,-0.52,0.28,0.32,0.23,-0.39,0.37,-0.53,-0.13,0.02,0.34
2016-10-28,-0.22,-0.43,0.32,0.58,-0.09,-0.33,0.26,0.34,-0.1,-0.33
2016-10-31,0.29,0.12,-0.26,-0.13,0.55,-0.04,-0.44,-0.11,0.04,-0.03
2016-11-01,0.12,-0.27,1.09,0.32,-0.42,-0.45,0.27,0.03,-0.25,-0.44
2016-11-02,-0.29,-0.45,-0.17,0.01,0.13,-0.42,0.48,1.21,-0.08,-0.42
2016-11-03,0.04,-0.33,-0.38,-0.21,1.14,-0.29,0.06,0.49,-0.23,-0.29
2016-11-04,-0.25,-0.16,0.55,0.24,0.41,-0.11,-0.24,-0.26,-0.07,-0.11
2016-11-07,0.73,-0.12,0.44,-0.16,-0.46,0.06,-0.33,0.04,-0.26,0.05
2016-11-08,0.43,0.58,-0.47,-0.21,-0.19,-0.05,-0.81,0.59,0.18,-0.05
2016-11-09,-1.04,-0.35,0.01,-0.41,1.01,0.77,0.27,-0.84,-0.21,0.79
2016-11-10,-0.01,-0.08,0.04,0.13,1.63,0.3,-0.9,-0.72,-0.7,0.31
2016-11-11,-0.63,-0.25,0.17,-0.09,0.74,0.28,0.45,-1.22,0.23,0.31
2016-11-14,0.64,0.03,-0.43,-0.47,-0.22,0.51,-1.08,0.15,0.36,0.51
2016-11-15,0.15,1.0,-0.4,-0.05,-0.22,0.1,-0.72,-0.16,0.21,0.09
2016-11-16,-0.94,0.22,0.19,-0.14,0.12,0.21,0.32,-0.27,0.07,0.21
2016-11-17,-0.51,-0.08,-0.04,-0.13,0.28,0.56,-0.52,-0.23,0.1,0.56
2016-11-18,-0.7,0.49,0.05,0.01,-0.27,0.39,-0.38,0.1,-0.07,0.38
2016-11-21,0.11,0.21,-0.25,-0.09,0.89,-0.44,-0.36,0.71,-0.32,-0.45
2016-11-22,0.63,-0.06,-0.18,0.11,-0.57,0.1,-0.25,0.02,0.1,0.1
2016-11-23,0.25,0.08,-0.12,-0.29,0.66,0.47,-0.9,-0.42,-0.19,0.47
2016-11-24,0.4,0.02,0.05,0.06,0.15,0.05,-0.75,-0.05,0.02,0.05
2016-11-25,0.31,-0.51,0.05,0.19,0.03,-0.23,-0.13,0.4,0.12,-0.24
2016-11-28,0.33,0.5,-0.41,-0.22,-0.67,-0.24,0.65,0.21,0.07,-0.23
