,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2018-08-03,0.47,0.12,-0.02,-0.32,-0.26,-0.12,0.27,-0.1,0.07,-0.13
2018-08-06,0.02,0.12,-0.12,0.02,-0.38,0.19,0.02,-0.08,0.01,0.2
2018-08-07,0.43,-0.51,-0.02,0.34,-0.18,-0.09,-0.07,-0.03,0.22,-0.09
2018-08-08,0.02,0.18,0.15,0.01,-0.58,-0.1,0.32,0.06,0.04,-0.1
2018-08-09,-0.26,0.24,0.48,-0.3,-0.01,0.49,0.43,-1.64,0.08,0.5
2018-08-10,-0.66,-0.32,0.27,-0.67,-0.05,0.44,0.68,-0.12,-0.01,0.45
2018-08-13,-0.11,0.24,0.08,0.31,0.12,-0.06,-0.31,0.03,-0.25,-0.05
2018-08-14,-0.33,0.8,0.12,-0.46,-0.25,0.17,-0.26,0.05,-0.02,0.18
2018-08-15,0.05,-0.58,0.16,0.07,-0.14,0.07,0.48,-0.07,-0.09,0.07
2018-08-16,0.26,-0.22,-0.41,0.21,0.04,-0.08,-0.26,0.28,0.27,-0.09
2018-08-17,0.41,0.4,-0.29,0.19,-0.1,-0.4,-0.03,0.33,-0.09,-0.4
2018-08-20,0.07,-0.09,0.18,0.16,0.15,-0.26,0.28,-0.19,-0.05,-0.26
2018-08-21,-0.0,-0.32,0.32,0.46,0.53,-0.4,-0.62,0.54,-0.11,-0.4
2018-08-22,-0.24,0.3,0.19,0.2,0.07,-0.06,-0.36,0.1,-0.13,-0.06
2018-08-23,-0.91,-0.1,0.26,0.13,-0.17,0.61,-0.11,-0.35,0.03,0.62
2018-08-24,0.73,0.01,-0.15,0.33,-0.16,-0.46,-0.43,0.35,0.22,-0.46
2018-08-27,0.01,0.14,0.14,0.29,0.14,-0.3,-0.06,-0.03,-0.04,-0.3
2018-08-28,-0.21,0.27,0.33,0.12,-0.24,-0.05,-0.15,0.17,-0.21,-0.04
