date,HKD
2019-11-22T22:00:00,0.54
2019-11-29T22:00:00,0.38
2019-12-06T22:00:00,1.11
2019-12-13T22:00:00,1.25
2019-12-20T22:00:00,0.39
2019-12-27T22:00:00,1.1
2020-01-03T22:00:00,1.6
2020-01-10T22:00:00,0.84
2020-01-17T22:00:00,0.85
2020-01-24T22:00:00,1.48
2020-01-31T22:00:00,2.26
2020-02-07T22:00:00,0.73
2020-02-14T22:00:00,1.47
2020-02-21T22:00:00,1.55
2020-02-28T22:00:00,0.7
2020-03-06T22:00:00,7.48
2020-03-13T21:00:00,9.68
2020-03-20T21:00:00,1.32
2020-03-27T21:00:00,3.67
2020-04-03T21:00:00,0.56
2020-04-10T21:00:00,1.82
2020-04-17T21:00:00,1.75
2020-04-24T21:00:00,1.04
2020-05-01T21:00:00,1.26
2020-05-08T21:00:00,2.61
2020-05-15T21:00:00,0.91
2020-05-22T21:00:00,0.46
2020-05-29T21:00:00,0.9
2020-06-05T21:00:00,2.3
2020-06-12T21:00:00,1.55
2020-06-19T21:00:00,1.17
2020-06-26T21:00:00,0.6
2020-07-03T21:00:00,0.49
2020-07-10T21:00:00,0.81
2020-07-17T21:00:00,0.46
2020-07-24T21:00:00,0.88
2020-07-31T21:00:00,1.33
2020-08-07T21:00:00,0.88
2020-08-14T21:00:00,1.24
2020-08-21T21:00:00,0.38
2020-08-28T21:00:00,1.8
2020-09-04T21:00:00,1.85
2020-09-11T21:00:00,0.7
2020-09-18T21:00:00,3.66
2020-09-25T21:00:00,0.4
2020-10-02T21:00:00,0.5
2020-10-09T21:00:00,1.56
2020-10-16T21:00:00,0.56
2020-10-23T21:00:00,2.07
2020-10-30T21:00:00,0.6
2020-11-06T22:00:00,1.69
2020-11-13T22:00:00,0.39
2020-11-20T22:00:00,0.53
2020-11-27T22:00:00,0.69
2020-12-04T22:00:00,1.06
2020-12-11T22:00:00,0.52
2020-12-18T22:00:00,1.22
2020-12-25T22:00:00,0.67
2021-01-01T22:00:00,1.25
2021-01-08T22:00:00,1.52
2021-01-15T22:00:00,0.78
2021-01-22T22:00:00,1.37
2021-01-29T22:00:00,1.11
2021-02-05T22:00:00,0.41
2021-02-12T22:00:00,0.83
2021-02-19T22:00:00,2.59
2021-02-26T22:00:00,2.32
2021-03-05T22:00:00,0.92
2021-03-12T22:00:00,1.07
2021-03-19T21:00:00,2.03
2021-03-26T21:00:00,0.94
2021-04-02T21:00:00,0.69
2021-04-09T21:00:00,0.49
2021-04-16T21:00:00,0.67
2021-04-23T21:00:00,1.17
2021-04-30T21:00:00,0.52
2021-05-07T21:00:00,1.28
2021-05-14T21:00:00,0.87
2021-05-21T21:00:00,0.97
2021-05-28T21:00:00,1.18
2021-06-04T21:00:00,1.01
2021-06-11T21:00:00,3.72
2021-06-18T21:00:00,0.59
2021-06-25T21:00:00,1.37
2021-07-02T21:00:00,1.34
2021-07-09T21:00:00,1.45
2021-07-16T21:00:00,1.27
2021-07-23T21:00:00,0.63
2021-07-30T21:00:00,1.13
2021-08-06T21:00:00,0.53
2021-08-13T21:00:00,2.76
2021-08-20T21:00:00,0.26
2021-08-27T21:00:00,0.59
2021-09-03T21:00:00,1.32
2021-09-10T21:00:00,1.64
2021-09-17T21:00:00,1.02
2021-09-24T21:00:00,1.77
2021-10-01T21:00:00,0.84
2021-10-08T21:00:00,0.8
2021-10-15T21:00:00,0.68
2021-10-22T21:00:00,0.91
2021-10-29T21:00:00,1.33
2021-11-05T21:00:00,1.85
2021-11-12T22:00:00,1.67
2021-11-19T22:00:00,1.85
2021-11-26T22:00:00,1.53
2021-12-03T22:00:00,0.66
2021-12-10T22:00:00,1.54
2021-12-17T22:00:00,0.7
2021-12-24T22:00:00,0.47
2021-12-31T22:00:00,1.45
2022-01-07T22:00:00,1.1
2022-01-14T22:00:00,1.19
2022-01-21T22:00:00,2.96
2022-01-28T22:00:00,0.81
2022-02-04T22:00:00,0.95
2022-02-11T22:00:00,0.74
2022-02-18T22:00:00,1.62
2022-02-25T22:00:00,1.25
2022-03-04T22:00:00,2.15
2022-03-11T22:00:00,1.13
2022-03-18T21:00:00,1.15
2022-03-25T21:00:00,1.34
2022-04-01T21:00:00,2.12
2022-04-08T21:00:00,1.81
2022-04-15T21:00:00,2.74
2022-04-22T21:00:00,3.6
2022-04-29T21:00:00,2.21
2022-05-06T21:00:00,2.53
2022-05-13T21:00:00,0.69
2022-05-20T21:00:00,0.39
