"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)" 
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040810 ,2004-08-10,33874A ,CME ,00 ,138 ,   29989,    8280,     910,       0,   16200,   27191,   24480,   28101,    5509,    1888,   29989,    8280,     910,       0,   16200,   27191,   24480,   28101,    5509,    1888,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1639,     679,    -816,     -61,    2412,    3429,    3030,    2552,   -1391,    -913,  100.0,   27.6,    3.0,    0.0,   54.0,   90.7,   81.6,   93.7,   18.4,    6.3,  100.0,   27.6,    3.0,    0.0,   54.0,   90.7,   81.6,   93.7,   18.4,    6.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     45,      9,      3,      0,     19,     20,     28,     23,     45,      9,      3,      0,     19,     20,     28,     23,      0,      0,      0,      0,      0,      0,      0,      0,    44.3,    54.5,    65.2,    75.3,    44.3,    54.3,    64.6,    75.1,    44.3,    54.5,    65.2,    75.3,    44.3,    54.3,    64.6,    75.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040803 ,2004-08-03,33874A ,CME ,00 ,138 ,   28350,    7601,    1726,      61,   13788,   23762,   21450,   25549,    6900,    2801,   28350,    7601,    1726,      61,   13788,   23762,   21450,   25549,    6900,    2801,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -207,   -1131,    -131,      61,    2303,    -384,    1233,    -454,   -1440,     247,  100.0,   26.8,    6.1,    0.2,   48.6,   83.8,   75.7,   90.1,   24.3,    9.9,  100.0,   26.8,    6.1,    0.2,   48.6,   83.8,   75.7,   90.1,   24.3,    9.9,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     41,      7,      5,      1,     14,     19,     21,     25,     41,      7,      5,      1,     14,     19,     21,     25,      0,      0,      0,      0,      0,      0,      0,      0,    44.0,    47.1,    61.7,    67.7,    44.0,    46.0,    61.2,    66.5,    44.0,    47.1,    61.7,    67.7,    44.0,    46.0,    61.2,    66.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040727 ,2004-07-27,33874A ,CME ,00 ,138 ,   28557,    8732,    1857,       0,   11485,   24146,   20217,   26003,    8340,    2554,   28557,    8732,    1857,       0,   11485,   24146,   20217,   26003,    8340,    2554,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     513,    -543,     586,     -66,     295,    -302,    -314,     218,     827,     295,  100.0,   30.6,    6.5,    0.0,   40.2,   84.6,   70.8,   91.1,   29.2,    8.9,  100.0,   30.6,    6.5,    0.0,   40.2,   84.6,   70.8,   91.1,   29.2,    8.9,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     48,     10,      7,      0,     17,     20,     27,     27,     48,     10,      7,      0,     17,     20,     27,     27,      0,      0,      0,      0,      0,      0,      0,      0,    35.8,    45.6,    50.2,    67.9,    35.8,    43.8,    50.2,    66.0,    35.8,    45.6,    50.2,    67.9,    35.8,    43.8,    50.2,    66.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040720 ,2004-07-20,33874A ,CME ,00 ,138 ,   28044,    9275,    1271,      66,   11190,   24448,   20531,   25785,    7513,    2259,   28044,    9275,    1271,      66,   11190,   24448,   20531,   25785,    7513,    2259,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     824,   -1489,   -1263,      66,    2388,    1382,     965,     185,    -141,     639,  100.0,   33.1,    4.5,    0.2,   39.9,   87.2,   73.2,   91.9,   26.8,    8.1,  100.0,   33.1,    4.5,    0.2,   39.9,   87.2,   73.2,   91.9,   26.8,    8.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     47,      9,      5,      1,     20,     21,     29,     27,     47,      9,      5,      1,     20,     21,     29,     27,      0,      0,      0,      0,      0,      0,      0,      0,    38.8,    46.2,    52.0,    70.6,    38.8,    44.0,    52.0,    68.4,    38.8,    46.2,    52.0,    70.6,    38.8,    44.0,    52.0,    68.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040713 ,2004-07-13,33874A ,CME ,00 ,138 ,   27220,   10764,    2534,       0,    8802,   23066,   19566,   25600,    7654,    1620,   27220,   10764,    2534,       0,    8802,   23066,   19566,   25600,    7654,    1620,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -1713,    -177,     589,    -229,     329,    -915,     -77,    -555,   -1636,   -1158,  100.0,   39.5,    9.3,    0.0,   32.3,   84.7,   71.9,   94.0,   28.1,    6.0,  100.0,   39.5,    9.3,    0.0,   32.3,   84.7,   71.9,   94.0,   28.1,    6.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     47,      9,      7,      0,     15,     21,     24,     28,     47,      9,      7,      0,     15,     21,     24,     28,      0,      0,      0,      0,      0,      0,      0,      0,    41.9,    40.9,    56.8,    63.7,    41.9,    39.0,    56.8,    61.9,    41.9,    40.9,    56.8,    63.7,    41.9,    39.0,    56.8,    61.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040706 ,2004-07-06,33874A ,CME ,00 ,138 ,   28933,   10941,    1945,     229,    8473,   23981,   19643,   26155,    9290,    2778,   28933,   10941,    1945,     229,    8473,   23981,   19643,   26155,    9290,    2778,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1311,    -744,     627,      40,    2692,    -259,    1988,     408,    -677,     903,  100.0,   37.8,    6.7,    0.8,   29.3,   82.9,   67.9,   90.4,   32.1,    9.6,  100.0,   37.8,    6.7,    0.8,   29.3,   82.9,   67.9,   90.4,   32.1,    9.6,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     42,      5,      8,      1,     14,     18,     20,     26,     42,      5,      8,      1,     14,     18,     20,     26,      0,      0,      0,      0,      0,      0,      0,      0,    40.1,    42.6,    55.7,    65.9,    40.1,    42.0,    55.7,    65.3,    40.1,    42.6,    55.7,    65.9,    40.1,    42.0,    55.7,    65.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040629 ,2004-06-29,33874A ,CME ,00 ,138 ,   27622,   11685,    1318,     189,    5781,   24240,   17655,   25747,    9967,    1875,   27622,   11685,    1318,     189,    5781,   24240,   17655,   25747,    9967,    1875,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3110,     362,     303,     -10,     580,    2916,     932,    3209,    2178,     -99,  100.0,   42.3,    4.8,    0.7,   20.9,   87.8,   63.9,   93.2,   36.1,    6.8,  100.0,   42.3,    4.8,    0.7,   20.9,   87.8,   63.9,   93.2,   36.1,    6.8,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     42,      9,      4,      1,     12,     20,     22,     24,     42,      9,      4,      1,     12,     20,     22,     24,      0,      0,      0,      0,      0,      0,      0,      0,    41.1,    46.6,    54.2,    70.2,    41.1,    46.1,    54.2,    69.7,    41.1,    46.6,    54.2,    70.2,    41.1,    46.1,    54.2,    69.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040622 ,2004-06-22,33874A ,CME ,00 ,138 ,   24512,   11323,    1015,     199,    5201,   21324,   16723,   22538,    7789,    1974,   24512,   11323,    1015,     199,    5201,   21324,   16723,   22538,    7789,    1974,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -27070,    4466,     -80,   -6209,  -22441,     -80,  -24184,   -6369,   -2886,  -20701,  100.0,   46.2,    4.1,    0.8,   21.2,   87.0,   68.2,   91.9,   31.8,    8.1,  100.0,   46.2,    4.1,    0.8,   21.2,   87.0,   68.2,   91.9,   31.8,    8.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     36,      8,      3,      1,     10,     20,     19,     23,     36,      8,      3,      1,     10,     20,     19,     23,      0,      0,      0,      0,      0,      0,      0,      0,    42.9,    49.1,    61.2,    68.9,    42.9,    48.9,    61.2,    68.8,    42.9,    49.1,    61.2,    68.9,    42.9,    48.9,    61.2,    68.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040615 ,2004-06-15,33874A ,CME ,00 ,138 ,   51582,    6857,    1095,    6408,   27642,   21404,   40907,   28907,   10675,   22675,   51582,    6857,    1095,    6408,   27642,   21404,   40907,   28907,   10675,   22675,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   15510,     316,     311,    5026,    3737,    1931,    9079,    7268,    6431,    8242,  100.0,   13.3,    2.1,   12.4,   53.6,   41.5,   79.3,   56.0,   20.7,   44.0,  100.0,   13.3,    2.1,   12.4,   53.6,   41.5,   79.3,   56.0,   20.7,   44.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     44,      8,      4,      4,     18,     24,     27,     31,     44,      8,      4,      4,     18,     24,     27,     31,      0,      0,      0,      0,      0,      0,      0,      0,    46.9,    23.9,    63.6,    35.0,    38.0,    18.6,    47.7,    26.6,    46.9,    23.9,    63.6,    35.0,    38.0,    18.6,    47.7,    26.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040608 ,2004-06-08,33874A ,CME ,00 ,138 ,   36072,    6541,     784,    1382,   23905,   19473,   31828,   21639,    4244,   14433,   36072,    6541,     784,    1382,   23905,   19473,   31828,   21639,    4244,   14433,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    4705,   -3743,   -1082,     664,    6254,   -5115,    3175,   -5533,    1530,   10238,  100.0,   18.1,    2.2,    3.8,   66.3,   54.0,   88.2,   60.0,   11.8,   40.0,  100.0,   18.1,    2.2,    3.8,   66.3,   54.0,   88.2,   60.0,   11.8,   40.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     41,      8,      2,      3,     16,     22,     24,     27,     41,      8,      2,      3,     16,     22,     24,     27,      0,      0,      0,      0,      0,      0,      0,      0,    56.8,    30.2,    71.7,    44.8,    56.6,    28.5,    68.0,    42.2,    56.8,    30.2,    71.7,    44.8,    56.6,    28.5,    68.0,    42.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040601 ,2004-06-01,33874A ,CME ,00 ,138 ,   31367,   10284,    1866,     718,   17651,   24588,   28653,   27172,    2714,    4195,   31367,   10284,    1866,     718,   17651,   24588,   28653,   27172,    2714,    4195,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1422,     708,    -123,      55,    1446,    1261,    2209,    1193,    -787,     229,  100.0,   32.8,    5.9,    2.3,   56.3,   78.4,   91.3,   86.6,    8.7,   13.4,  100.0,   32.8,    5.9,    2.3,   56.3,   78.4,   91.3,   86.6,    8.7,   13.4,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     45,     10,      6,      2,     18,     19,     29,     26,     45,     10,      6,      2,     18,     19,     29,     26,      0,      0,      0,      0,      0,      0,      0,      0,    55.9,    59.8,    70.5,    72.4,    55.6,    56.2,    68.4,    67.1,    55.9,    59.8,    70.5,    72.4,    55.6,    56.2,    68.4,    67.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040525 ,2004-05-25,33874A ,CME ,00 ,138 ,   29945,    9576,    1989,     663,   16205,   23327,   26444,   25979,    3501,    3966,   29945,    9576,    1989,     663,   16205,   23327,   26444,   25979,    3501,    3966,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3618,     872,    -241,      35,    1634,    3254,    2541,    3048,    1077,     570,  100.0,   32.0,    6.6,    2.2,   54.1,   77.9,   88.3,   86.8,   11.7,   13.2,  100.0,   32.0,    6.6,    2.2,   54.1,   77.9,   88.3,   86.8,   11.7,   13.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     41,      8,      5,      1,     16,     19,     25,     24,     41,      8,      5,      1,     16,     19,     25,     24,      0,      0,      0,      0,      0,      0,      0,      0,    56.2,    57.5,    70.7,    70.2,    55.8,    53.7,    67.9,    64.3,    56.2,    57.5,    70.7,    70.2,    55.8,    53.7,    67.9,    64.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040518 ,2004-05-18,33874A ,CME ,00 ,138 ,   26327,    8704,    2230,     628,   14571,   20073,   23903,   22931,    2424,    3396,   26327,    8704,    2230,     628,   14571,   20073,   23903,   22931,    2424,    3396,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1914,    -398,    1544,     -36,    2660,     391,    2226,    1899,    -312,      15,  100.0,   33.1,    8.5,    2.4,   55.3,   76.2,   90.8,   87.1,    9.2,   12.9,  100.0,   33.1,    8.5,    2.4,   55.3,   76.2,   90.8,   87.1,    9.2,   12.9,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     38,      8,      4,      1,     18,     16,     27,     20,     38,      8,      4,      1,     18,     16,     27,     20,      0,      0,      0,      0,      0,      0,      0,      0,    57.5,    55.1,    70.2,    71.0,    57.5,    52.3,    68.2,    65.9,    57.5,    55.1,    70.2,    71.0,    57.5,    52.3,    68.2,    65.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040511 ,2004-05-11,33874A ,CME ,00 ,138 ,   24413,    9102,     686,     664,   11911,   19682,   21677,   21032,    2736,    3381,   24413,    9102,     686,     664,   11911,   19682,   21677,   21032,    2736,    3381,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    4777,    -541,     101,     355,    5577,    3367,    5391,    3823,    -614,     954,  100.0,   37.3,    2.8,    2.7,   48.8,   80.6,   88.8,   86.2,   11.2,   13.8,  100.0,   37.3,    2.8,    2.7,   48.8,   80.6,   88.8,   86.2,   11.2,   13.8,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     39,      9,      2,      1,     18,     17,     27,     20,     39,      9,      2,      1,     18,     17,     27,     20,      0,      0,      0,      0,      0,      0,      0,      0,    50.5,    52.0,    65.4,    71.6,    50.5,    49.5,    64.4,    69.1,    50.5,    52.0,    65.4,    71.6,    50.5,    49.5,    64.4,    69.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040504 ,2004-05-04,33874A ,CME ,00 ,138 ,   19636,    9643,     585,     309,    6334,   16315,   16286,   17209,    3350,    2427,   19636,    9643,     585,     309,    6334,   16315,   16286,   17209,    3350,    2427,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -5334,     391,    -100,     175,    1020,   -6117,    1586,   -6042,   -6920,     708,  100.0,   49.1,    3.0,    1.6,   32.3,   83.1,   82.9,   87.6,   17.1,   12.4,  100.0,   49.1,    3.0,    1.6,   32.3,   83.1,   82.9,   87.6,   17.1,   12.4,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     38,      9,      1,      1,     13,     20,     22,     22,     38,      9,      1,      1,     13,     20,     22,     22,      0,      0,      0,      0,      0,      0,      0,      0,    43.2,    44.7,    60.3,    68.0,    43.2,    41.0,    57.2,    64.2,    43.2,    44.7,    60.3,    68.0,    43.2,    41.0,    57.2,    64.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040427 ,2004-04-27,33874A ,CME ,00 ,138 ,   24970,    9252,     685,     134,    5314,   22432,   14700,   23251,   10270,    1719,   24970,    9252,     685,     134,    5314,   22432,   14700,   23251,   10270,    1719,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     481,     803,    -537,      55,    -709,    1841,     149,    1359,     332,    -878,  100.0,   37.1,    2.7,    0.5,   21.3,   89.8,   58.9,   93.1,   41.1,    6.9,  100.0,   37.1,    2.7,    0.5,   21.3,   89.8,   58.9,   93.1,   41.1,    6.9,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     39,     10,      2,      2,     14,     17,     25,     20,     39,     10,      2,      2,     14,     17,     25,     20,      0,      0,      0,      0,      0,      0,      0,      0,    27.2,    59.8,    41.5,    79.6,    27.2,    58.0,    40.4,    74.6,    27.2,    59.8,    41.5,    79.6,    27.2,    58.0,    40.4,    74.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040420 ,2004-04-20,33874A ,CME ,00 ,138 ,   24489,    8449,    1222,      79,    6023,   20591,   14551,   21892,    9938,    2597,   24489,    8449,    1222,      79,    6023,   20591,   14551,   21892,    9938,    2597,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3911,    2025,     280,      79,    1330,    2149,    3434,    2508,     477,    1403,  100.0,   34.5,    5.0,    0.3,   24.6,   84.1,   59.4,   89.4,   40.6,   10.6,  100.0,   34.5,    5.0,    0.3,   24.6,   84.1,   59.4,   89.4,   40.6,   10.6,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     37,      7,      5,      2,     12,     18,     20,     24,     37,      7,      5,      2,     12,     18,     20,     24,      0,      0,      0,      0,      0,      0,      0,      0,    34.5,    51.7,    48.3,    70.8,    34.5,    48.7,    45.9,    64.8,    34.5,    51.7,    48.3,    70.8,    34.5,    48.7,    45.9,    64.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040412 ,2004-04-12,33874A ,CME ,00 ,138 ,   20578,    6424,     942,       0,    4693,   18442,   11117,   19384,    9461,    1194,   20578,    6424,     942,       0,    4693,   18442,   11117,   19384,    9461,    1194,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     524,     786,       7,       0,     234,     390,    1020,     397,    -496,     127,  100.0,   31.2,    4.6,    0.0,   22.8,   89.6,   54.0,   94.2,   46.0,    5.8,  100.0,   31.2,    4.6,    0.0,   22.8,   89.6,   54.0,   94.2,   46.0,    5.8,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     35,      7,      3,      0,     13,     16,     20,     19,     35,      7,      3,      0,     13,     16,     20,     19,      0,      0,      0,      0,      0,      0,      0,      0,    28.8,    57.5,    41.9,    80.9,    28.8,    54.6,    38.6,    74.8,    28.8,    57.5,    41.9,    80.9,    28.8,    54.6,    38.6,    74.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
"E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE" ,040406 ,2004-04-06,33874A ,CME ,00 ,138 ,   20054,    5638,     935,       0,    4459,   18052,   10097,   18987,    9957,    1067,   20054,    5638,     935,       0,    4459,   18052,   10097,   18987,    9957,    1067,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3283,     798,     162,     -52,     740,    2940,    1486,    3050,    1797,     233,  100.0,   28.1,    4.7,    0.0,   22.2,   90.0,   50.3,   94.7,   49.7,    5.3,  100.0,   28.1,    4.7,    0.0,   22.2,   90.0,   50.3,   94.7,   49.7,    5.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     37,      6,      4,      0,     15,     17,     21,     21,     37,      6,      4,      0,     15,     17,     21,     21,      0,      0,      0,      0,      0,      0,      0,      0,    26.7,    55.4,    37.9,    78.8,    26.0,    51.4,    34.3,    72.4,    26.7,    55.4,    37.9,    78.8,    26.0,    51.4,    34.3,    72.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(S&P 400 INDEX X $100)" ,"33874A" ,"CME" ,"138"
