,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2018-10-08,0.68,0.65,0.6,0.68,0.83,0.58,1.09,0.69,0.56,0.55
2018-10-09,0.55,0.46,0.46,0.52,0.74,0.54,0.58,0.61,0.42,0.54
2018-10-10,1.18,1.14,0.73,0.77,0.85,0.68,1.19,0.91,0.64,0.68
2018-10-11,1.04,0.73,0.92,0.7,0.73,0.68,0.86,1.15,0.7,0.68
2018-10-12,0.61,0.57,0.51,0.62,0.81,0.49,0.79,0.56,0.51,0.49
2018-10-15,0.57,0.8,0.63,0.52,0.6,0.63,0.63,0.77,0.52,0.6
2018-10-16,0.62,0.73,0.69,0.58,0.79,0.54,0.76,0.89,0.54,0.52
2018-10-17,0.59,0.56,0.5,0.53,0.64,0.58,0.69,0.58,0.5,0.6
2018-10-18,0.72,0.63,0.65,0.6,0.79,0.58,1.0,0.7,0.52,0.57
2018-10-19,0.85,1.03,0.68,0.93,0.85,0.64,0.86,1.22,0.64,0.64
2018-10-22,0.68,0.62,0.65,0.66,0.89,0.59,0.71,0.83,0.52,0.59
2018-10-23,0.58,0.5,0.46,0.45,0.74,0.46,0.87,0.54,0.42,0.46
2018-10-24,0.76,1.27,0.63,0.85,0.92,0.62,0.94,0.75,0.59,0.63
2018-10-25,0.8,0.75,0.68,0.64,0.88,0.58,0.76,0.76,0.54,0.58
2018-10-26,0.97,0.79,0.67,0.68,0.64,0.68,1.11,0.98,0.6,0.69
2018-10-29,0.7,0.51,0.53,0.55,0.51,0.5,0.74,0.73,0.46,0.51
2018-10-30,1.05,0.63,0.66,0.57,0.96,0.55,0.83,0.9,0.52,0.54
2018-10-31,0.62,0.6,0.59,0.56,1.1,0.57,0.71,0.84,0.52,0.55
2018-11-01,1.36,0.93,0.93,0.9,1.56,1.1,1.07,1.61,0.85,1.16
2018-11-02,0.84,0.61,0.71,0.61,0.62,0.77,0.84,0.8,0.63,0.69
2018-11-05,0.48,0.52,0.5,0.52,0.62,0.46,0.45,0.68,0.44,0.45
2018-11-06,0.64,0.6,0.47,0.51,0.72,0.48,0.67,1.29,0.45,0.49
2018-11-07,0.88,0.71,0.74,0.66,0.68,0.83,0.8,1.25,0.61,0.86
2018-11-08,0.59,0.58,0.46,0.59,0.6,0.65,0.54,0.57,0.45,0.63
2018-11-09,0.6,0.61,0.6,0.47,0.77,0.52,0.72,0.58,0.54,0.53
2018-11-12,0.67,0.62,0.59,0.83,0.83,0.64,0.81,0.77,0.54,0.65
2018-11-13,0.78,0.68,0.68,0.66,1.39,0.66,0.92,0.8,0.6,0.67
2018-11-14,0.76,0.71,0.68,0.71,1.32,0.68,0.79,0.86,0.61,0.68
2018-11-15,1.06,0.92,0.82,0.91,2.46,0.79,0.97,0.94,0.73,0.79
2018-11-16,0.89,0.8,0.73,0.71,0.94,0.77,0.77,0.94,0.65,0.78
2018-11-19,0.75,0.63,0.91,0.67,0.77,0.55,0.62,0.89,0.54,0.54
2018-11-20,0.95,0.93,0.68,0.76,0.74,0.78,0.73,0.91,0.69,0.77
2018-11-21,0.93,0.76,0.55,0.58,0.64,0.56,0.76,0.93,0.53,0.54
2018-11-22,0.6,0.62,0.54,0.54,1.22,0.47,0.55,0.79,0.46,0.47
2018-11-23,0.53,0.67,0.5,0.69,0.58,0.54,0.61,0.68,0.44,0.5
2018-11-26,0.67,0.52,0.48,0.46,0.55,0.52,0.78,0.78,0.46,0.54
2018-11-27,0.83,0.62,0.54,0.53,0.77,0.54,0.54,0.88,0.48,0.56
2018-11-28,1.06,0.79,0.69,0.76,0.83,0.85,0.72,1.11,0.62,0.87
2018-11-29,0.69,0.53,0.68,0.5,0.81,0.48,0.55,0.66,0.46,0.49
2018-11-30,0.52,0.53,0.55,0.76,0.57,0.44,0.42,0.64,0.41,0.46
2018-12-03,0.66,0.81,0.53,0.58,0.97,0.54,0.54,0.7,0.48,0.55
2018-12-04,0.74,0.78,0.62,0.67,1.06,0.76,1.09,0.69,0.66,0.77
2018-12-05,1.16,1.02,0.64,0.66,1.03,0.63,0.63,0.8,0.61,0.68
2018-12-06,1.13,0.89,0.9,0.75,0.86,0.73,0.99,0.81,0.7,0.73
2018-12-07,0.73,1.16,0.68,0.66,0.77,0.56,0.59,0.78,0.51,0.55
2018-12-10,0.82,0.85,0.79,0.76,1.8,0.8,0.96,1.09,0.69,0.82
2018-12-11,0.68,0.64,0.71,0.72,1.14,0.58,0.61,0.81,0.53,0.58
2018-12-12,0.65,0.65,0.66,0.67,1.48,0.6,0.6,1.15,0.56,0.63
2018-12-13,0.49,0.48,0.45,0.52,0.63,0.4,0.53,0.52,0.38,0.42
2018-12-14,0.84,0.64,0.67,0.74,0.84,0.71,0.82,1.08,0.6,0.71
2018-12-17,0.47,0.64,0.67,0.49,0.58,0.46,0.74,0.55,0.47,0.45
2018-12-18,0.61,0.9,0.53,0.59,0.71,0.63,0.6,1.07,0.52,0.57
2018-12-19,1.41,0.82,0.7,0.83,0.77,0.73,0.84,1.39,0.65,0.74
2018-12-20,0.94,1.02,1.02,0.91,0.81,0.85,1.42,1.05,0.73,0.85
2018-12-21,1.0,0.73,0.76,0.78,0.79,0.77,0.9,0.94,0.66,0.8
2018-12-24,0.67,0.71,0.96,0.69,0.82,0.57,0.83,0.75,0.61,0.56
2018-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-26,0.91,0.76,1.07,0.72,0.81,0.62,1.08,0.7,0.63,0.6
2018-12-27,1.07,0.97,1.27,1.08,0.79,0.68,1.0,0.95,0.69,0.67
2018-12-28,0.61,0.75,0.98,0.53,0.67,0.57,0.76,0.59,0.58,0.55
2018-12-31,0.71,0.66,0.76,0.58,1.13,0.55,0.91,0.64,0.6,0.55
