,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2008-10-08,-5.66,-1.26,2.17,1.53,0.03,1.01,3.46,-3.1,0.87,0.94
2008-10-09,3.38,-2.06,-0.19,-0.3,-1.24,0.13,-0.68,1.26,-0.4,0.09
2008-10-10,-5.15,-0.63,0.67,-0.02,1.28,1.57,0.65,-0.86,0.89,1.61
2008-10-13,3.18,1.28,-1.79,-0.59,0.41,-0.88,-1.93,0.81,0.42,-0.91
2008-10-14,-0.27,-0.89,0.13,0.38,0.29,0.19,0.06,-0.02,-0.0,0.13
2008-10-15,-4.35,-1.45,1.69,0.12,0.2,1.18,3.08,-1.78,0.14,1.17
2008-10-16,4.18,0.56,-1.3,-1.01,-0.42,-0.68,-2.5,2.63,-0.78,-0.68
2008-10-17,-0.05,-0.31,0.31,-0.13,0.13,0.22,0.16,-0.65,0.1,0.22
2008-10-20,1.57,-0.73,-1.23,-0.57,-0.94,0.15,-0.22,1.51,0.33,0.13
2008-10-21,-3.84,-0.64,1.3,-0.87,-1.43,1.49,3.33,-1.71,0.92,1.46
2008-10-22,1.35,-2.57,-0.15,-0.75,-1.94,0.99,3.71,-1.47,-0.19,1.02
2008-10-23,-0.79,0.55,0.24,0.57,-0.41,-0.17,0.3,0.22,-0.35,-0.17
2008-10-24,-6.0,-0.38,1.26,-0.63,-0.14,2.03,5.41,-5.18,1.59,2.04
2008-10-27,-2.29,-0.7,2.21,0.27,-1.0,0.82,1.75,-2.43,0.52,0.84
2008-10-28,5.97,0.6,-1.75,0.4,1.27,-1.3,-7.74,3.37,0.52,-1.33
2008-10-29,2.36,2.33,0.56,0.22,0.99,-2.25,-1.51,1.82,-2.29,-2.23
2008-10-30,1.81,1.58,-1.37,-0.95,0.0,-0.53,-1.92,0.69,1.19,-0.52
2008-10-31,-1.12,0.15,-0.61,-0.38,-1.3,1.25,1.39,-0.5,-0.14,1.25
2008-11-03,1.38,2.54,-1.7,-0.96,-1.87,-0.07,-0.6,1.19,0.15,-0.07
2008-11-04,2.24,1.58,-0.25,1.55,-0.43,-1.42,-2.09,1.29,-1.08,-1.4
2008-11-05,-2.25,-1.34,0.95,0.3,0.16,0.49,2.47,-1.38,0.09,0.5
2008-11-06,-1.18,-1.21,-0.48,-0.64,-0.51,1.44,1.64,-0.28,-0.2,1.44
2008-11-07,1.15,0.48,-0.35,-0.29,-0.19,-0.32,-0.87,0.61,0.09,-0.31
2008-11-10,-1.82,-0.74,0.31,0.23,-0.65,0.81,2.27,-2.42,1.19,0.82
2008-11-11,-1.12,-0.21,0.18,-0.98,-0.57,1.0,1.39,-0.55,-0.14,1.01
2008-11-12,-2.02,-1.96,0.89,0.72,-2.21,0.8,3.79,-1.23,0.39,0.83
2008-11-13,3.75,1.76,-0.78,1.64,-1.63,-0.71,-3.89,1.28,-0.72,-0.71
2008-11-14,-1.78,-1.18,0.43,-0.27,0.42,1.16,1.88,-2.32,0.52,1.14
2008-11-17,1.38,0.49,-0.54,0.34,1.88,-0.69,-1.27,0.04,-0.93,-0.71
2008-11-18,0.76,-0.35,-0.31,-0.15,-0.11,0.13,-0.56,0.54,-0.08,0.13
